[2018-04-26 13:52:50,647] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=41#page:200
[2018-04-26 13:52:51,496] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=42 HTTP/1.1" 200 None
[2018-04-26 13:52:52,176] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=42#page:200
[2018-04-26 13:52:53,230] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=43 HTTP/1.1" 200 None
[2018-04-26 13:52:54,236] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=43#page:200
[2018-04-26 13:52:55,332] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=44 HTTP/1.1" 200 None
[2018-04-26 13:52:55,625] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=44#page:200
[2018-04-26 13:52:57,187] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=45 HTTP/1.1" 200 None
[2018-04-26 13:52:57,430] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=45#page:200
[2018-04-26 13:52:58,497] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=46 HTTP/1.1" 200 None
[2018-04-26 13:52:58,782] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=46#page:200
[2018-04-26 13:52:59,999] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=47 HTTP/1.1" 200 None
[2018-04-26 13:53:00,578] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=47#page:200
[2018-04-26 13:53:01,358] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=48 HTTP/1.1" 200 None
[2018-04-26 13:53:01,782] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=48#page:200
[2018-04-26 13:53:03,102] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=49 HTTP/1.1" 200 None
[2018-04-26 13:53:03,355] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=49#page:200
[2018-04-26 13:53:04,928] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=50 HTTP/1.1" 200 None
[2018-04-26 13:53:05,275] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=50#page:200
[2018-04-26 13:53:06,131] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=51 HTTP/1.1" 200 None
[2018-04-26 13:53:06,388] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=51#page:200
[2018-04-26 13:53:07,493] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=52 HTTP/1.1" 200 None
